1990 census,,,,,,,,,,,,,,,,,,,,,,
STATE,COUNTY,StateCounty,HHLDS,GINI,,----------------------INCOME BY QUINTILE LIMIT----------,,, ,COUNTY,,,---------------MEAN INCOME BY QUINTILE----------,,,95%,,,---------------PERCENT SHARE BY QUINTILE----------,,,95%
,,,,,FIRST,SECOND,THIRD,FOURTH,95 %ile,MEAN,FIRST,SECOND,THIRD,FOURTH,FIFTH,MEAN,FIRST,SECOND,THIRD,FOURTH,FIFTH,SHARE
Georgia,TOWNS,13281,2816,0.442356235,8555,15540,23000,36900,71300,25374,4859,12072,19192,29095,61652,99893,0.0383,0.09515,0.15127,0.22933,0.48595,0.19684
Georgia,TREUTLEN,13283,2220,0.43534502,6590,13220,21470,32800,50100,21416,3532,9822,17351,26879,49495,78302,0.03322,0.0917,0.162,0.25096,0.46211,0.18277
Georgia,TROUP,13285,20394,0.447310625,9215,19810,30580,45200,75725,31291,5148,14361,24732,37635,74579,129113,0.03293,0.09179,0.15808,0.24054,0.47667,0.2063
Georgia,TURNER,13287,3040,0.441775001,6605,13575,22075,35000,54355,22610,3861,10101,17789,28154,53147,84914,0.03456,0.08931,0.15729,0.24893,0.46991,0.1877
Georgia,TWIGGS,13289,3326,0.435510029,7400,14640,26000,40010,61600,24849,4079,11249,19437,32255,57228,84687,0.03283,0.09054,0.15644,0.25961,0.46059,0.1704
Georgia,UNION,13291,4632,0.489336814,7500,15100,25200,37900,69545,27754,4273,11340,20079,30872,72207,140143,0.03097,0.0817,0.14466,0.22243,0.52023,0.25242
Georgia,UPSON,13293,9877,0.425430501,9150,17450,28000,40325,65400,27847,5341,13313,22610,34298,63676,105381,0.03836,0.09561,0.16238,0.24633,0.45732,0.18921
Georgia,WALKER,13295,21641,0.407576792,9815,19000,29100,42000,64605,28345,5532,14505,23986,35088,62612,98547,0.03904,0.10235,0.16925,0.24758,0.44179,0.17384
Georgia,WALTON,13297,13380,0.427992017,11100,23000,33640,49890,77600,34143,5699,17226,28171,41283,78336,133054,0.03344,0.1009,0.16501,0.24181,0.45884,0.19484
Georgia,WARE,13299,13020,0.446197489,7705,15710,25500,38670,62900,25789,4306,11526,20438,31234,61443,100920,0.03359,0.08937,0.15847,0.24217,0.4764,0.19562
Georgia,WARREN,13301,2116,0.440763402,6500,12590,21880,35500,58500,22489,4226,9607,17219,28221,53173,77661,0.03758,0.08544,0.15313,0.25097,0.47288,0.17266
Georgia,WASHINGTON,13303,6793,0.476286717,7055,16290,26700,41600,72485,27770,3843,11071,21340,33064,69533,120198,0.02768,0.07973,0.15369,0.23813,0.50077,0.21641
Georgia,WAYNE,13305,7897,0.422035713,8000,18000,29075,42600,65500,27558,4345,12888,23380,35656,61520,88508,0.03183,0.09351,0.16963,0.25869,0.44634,0.16054
Georgia,WEBSTER,13307,813,0.486560919,6855,15130,22495,34500,63925,25993,4317,10752,18974,28458,67464,136360,0.03322,0.08273,0.14599,0.21897,0.51909,0.2623
Georgia,WHEELER,13309,1820,0.534193,5855,13020,21430,32260,55000,25332,3426,9106,16731,27078,70321,159286,0.02712,0.07189,0.13208,0.21377,0.55514,0.31437
Georgia,WHITE,13311,4889,0.413330436,10800,20000,29000,42905,71570,29509,5906,15212,24212,35217,66996,105471,0.04022,0.10308,0.16407,0.23864,0.45399,0.17868
Georgia,WHITFIELD,13313,26953,0.438598446,12710,22800,34000,49500,82300,35716,6964,17802,27844,40602,85368,158477,0.03901,0.09968,0.15592,0.22736,0.47803,0.22185
Georgia,WILCOX,13315,2516,0.479359082,6100,12000,22580,39000,63000,24277,3949,9007,16593,30797,61040,97348,0.03253,0.0742,0.13669,0.25371,0.50285,0.20049
Georgia,WILKES,13317,4038,0.512606148,7170,14000,24300,38900,66000,28066,4184,10404,18826,31294,75624,154635,0.03006,0.07412,0.13412,0.22294,0.53876,0.27541
Georgia,WILKINSON,13319,3631,0.400847226,10835,19310,30440,43520,66140,29191,6041,14790,24915,36756,63456,96886,0.04139,0.10133,0.1707,0.25183,0.43475,0.16595
Georgia,WORTH,13321,6913,0.448293493,7200,16000,27880,41000,68010,26754,3891,11507,21450,34126,62799,97975,0.02908,0.08602,0.16035,0.25511,0.46945,0.1831
Hawaii,HAWAII,15001,41579,0.438491186,12480,23440,36000,54250,91940,37570,6980,17966,29452,44275,89178,152436,0.03727,0.09563,0.15677,0.23566,0.47467,0.20284
Hawaii,HONOLULU,15003,265625,0.40900505,19560,33025,48900,70600,115100,49959,11171,26242,40544,58677,113161,190818,0.04475,0.10505,0.1623,0.2349,0.453,0.19097
Hawaii,KALAWAO,15005,70,0.554552335,3000,4670,10340,21700,72200,16649,2388,4286,8870,18100,49600,72200,0.02868,0.05148,0.10656,0.21744,0.59585,0.21684
Hawaii,KAUAI,15007,16326,0.393750972,17400,31000,44515,62360,100000,44161,9899,24224,37534,52443,96706,157821,0.04484,0.10971,0.16998,0.23751,0.43797,0.17869
Hawaii,MAUI,15009,33148,0.40416213,19290,32150,45840,65000,104760,47043,10585,25669,38759,54136,106065,182322,0.04502,0.10913,0.16478,0.23015,0.45092,0.19378
Idaho,ADA,16001,77502,0.411856249,14995,24860,35975,52065,85010,37459,8575,19694,30113,43185,85726,150388,0.04586,0.10514,0.16077,0.23056,0.45767,0.20072
Idaho,ADAMS,16003,1237,0.542622245,11000,18585,26575,37200,61335,35787,6265,14696,22492,31618,103865,281072,0.03532,0.0821,0.12566,0.17665,0.58027,0.39258
Idaho,BANNOCK,16005,23495,0.406241557,11000,20500,31690,45175,68400,30766,6095,15616,26268,38105,67743,107793,0.0397,0.10151,0.17075,0.24769,0.44035,0.17517
Idaho,BEAR LAKE,16007,1992,0.414988307,9035,18000,27060,39700,60000,27286,5864,13439,22026,33687,61416,103498,0.04335,0.09846,0.16138,0.24682,0.44999,0.18958
Idaho,BENEWAH,16009,3002,0.406139585,9500,16950,25730,36830,60000,25898,5999,13162,21346,30780,58203,96534,0.04633,0.10165,0.16485,0.2377,0.44947,0.18637
Idaho,BINGHAM,16011,11564,0.408195008,11885,20500,29750,42000,66000,30499,6799,16354,24949,35536,68857,122643,0.04475,0.10722,0.16358,0.23299,0.45146,0.20103
Idaho,BLAINE,16013,5560,0.502512354,16000,25685,38000,56000,113825,47830,9586,21109,31187,45806,131461,300482,0.0401,0.08827,0.13041,0.19154,0.54969,0.31411
Idaho,BOISE,16015,1366,0.424738553,11375,20300,31000,42870,71325,30840,6390,15305,25788,34945,71770,132225,0.04189,0.09921,0.16716,0.22652,0.46522,0.21427
Idaho,BONNER,16017,10322,0.426787699,10000,17875,25275,38000,62000,27003,5602,13718,21383,30910,63400,112349,0.0415,0.10161,0.15838,0.22894,0.46958,0.20803
Idaho,BONNEVILLE,16019,24297,0.389850851,14260,24280,36280,52000,81900,35817,8387,19295,30266,43525,77610,121860,0.04688,0.10774,0.169,0.24303,0.43335,0.17011
Idaho,BOUNDARY,16021,2862,0.408337377,9825,17670,26000,36050,55590,25841,5530,13626,21736,30126,58186,99695,0.04311,0.10543,0.16817,0.23309,0.45019,0.19284
Idaho,BUTTE,16023,1002,0.385458211,10000,21000,31000,39500,70310,28688,6146,15301,26016,34806,61172,92731,0.04298,0.10666,0.18134,0.24261,0.4264,0.1616
Idaho,CAMAS,16025,271,0.378205948,14200,21875,27500,41550,78755,30632,8550,18077,24535,33732,68264,106117,0.05583,0.11803,0.16019,0.22024,0.44571,0.17321
Idaho,CANYON,16027,31281,0.401518505,11000,18865,27390,40000,66480,28097,6529,14917,23034,33012,62994,102560,0.04653,0.10618,0.16395,0.23497,0.44837,0.1825
Idaho,CARIBOU,16029,2276,0.374848669,13395,25000,35000,44700,66200,33121,7981,19178,29790,38948,69708,119802,0.04819,0.11581,0.17988,0.23519,0.42093,0.18085
Idaho,CASSIA,16031,6357,0.41871167,11385,19500,28100,40500,65800,29527,6682,15291,23398,33666,68597,123451,0.04526,0.10358,0.15849,0.22804,0.46464,0.20905
Idaho,CLARK,16033,284,0.348240604,14000,20650,29795,40000,62850,28085,8429,17043,24538,33347,57068,89150,0.06003,0.12137,0.17474,0.23747,0.40639,0.15871
Idaho,CLEARWATER,16035,3206,0.401579707,11600,20090,28405,42590,61000,29466,6932,15966,23990,34504,65935,113917,0.04705,0.10837,0.16283,0.2342,0.44754,0.19331
Idaho,CUSTER,16037,1580,0.427834984,10200,18000,31000,43800,73000,30249,5700,14381,24323,37440,69404,114911,0.0379,0.09506,0.16078,0.24749,0.45878,0.1899
Idaho,ELMORE,16039,7186,0.367727498,13000,19050,28065,39800,60275,28059,8054,15964,23563,33614,59099,94038,0.05741,0.11379,0.16795,0.2396,0.42125,0.16757
Idaho,FRANKLIN,16041,2764,0.351728219,12380,21700,29260,39920,60330,28147,7396,17138,25218,34148,56835,84329,0.05258,0.12177,0.17918,0.24263,0.40383,0.1498
Idaho,FREMONT,16043,3476,0.389236976,10195,19200,28000,40100,61550,27221,6057,14720,23504,33216,58608,93111,0.0447,0.10813,0.17265,0.24399,0.43052,0.17099
Idaho,GEM,16045,4446,0.445289598,9910,17660,25480,35765,60280,27620,5684,13457,21478,30356,67122,135109,0.04167,0.0974,0.15544,0.2197,0.48579,0.24446
Idaho,GOODING,16047,4305,0.427906341,9000,16280,23600,35590,59250,25538,5708,12778,19764,28931,60509,109007,0.04476,0.10006,0.15477,0.22656,0.47385,0.21341
Idaho,IDAHO,16049,5257,0.414663694,9800,17775,26400,38660,65645,27166,5986,13876,21886,31878,62205,105712,0.04409,0.10216,0.16112,0.23468,0.45795,0.19456
Idaho,JEFFERSON,16051,4836,0.415343524,11870,20140,29300,42500,71600,30812,7229,15918,24433,35311,71167,126743,0.04711,0.1033,0.15856,0.22916,0.46186,0.20563
Idaho,JEROME,16053,5281,0.440736323,10200,17200,25000,37000,64000,27736,6031,13637,21030,30474,67508,128069,0.04349,0.09833,0.15165,0.21974,0.48679,0.23087
Idaho,KOOTENAI,16055,26923,0.41516058,12000,20500,30635,44545,76150,31673,7019,16290,25434,36913,72709,125022,0.04448,0.10285,0.16058,0.23305,0.45904,0.19733
Idaho,LATAH,16057,11272,0.430215852,9010,17375,28000,44000,69840,28348,5079,13267,22597,35116,65682,98655,0.03593,0.09359,0.15941,0.24772,0.46334,0.17399
Idaho,LEMHI,16059,2803,0.456290866,9045,15240,24400,33000,60000,26040,5661,11929,19482,28133,64994,129545,0.04348,0.09162,0.14963,0.21608,0.49919,0.24875
Idaho,LEWIS,16061,1416,0.383417019,9185,16930,25220,35150,56975,24405,6001,12993,20844,29882,52309,79689,0.04918,0.10648,0.17081,0.24488,0.42866,0.16326
Idaho,LINCOLN,16063,1179,0.370656399,10700,18000,25800,41600,58000,25922,6921,14334,21717,31927,54711,78963,0.05402,0.11052,0.16745,0.24617,0.42184,0.15221
Idaho,MADISON,16065,5828,0.413621261,11740,18220,27200,40970,74600,29388,7136,15152,22759,33377,68516,111992,0.04856,0.10312,0.15489,0.22715,0.46628,0.19054
Idaho,MINIDOKA,16067,6553,0.419700992,12000,19680,27000,38950,68000,29907,6976,16188,23308,32762,70303,134420,0.04703,0.10821,0.1558,0.219,0.46995,0.22464
Idaho,NEZ PERCE,16069,13710,0.416505823,10700,19900,30070,44400,71400,30496,6150,15115,25099,36951,69164,112548,0.04059,0.0991,0.16456,0.24227,0.45347,0.18448
Idaho,ONEIDA,16071,1155,0.356753673,10920,19160,27875,39610,58760,26356,6308,15937,23144,33197,53193,72046,0.04787,0.12093,0.17563,0.25191,0.40365,0.13668
Idaho,OWYHEE,16073,2801,0.510389365,8650,15025,22500,34510,61000,28388,5243,11859,18587,28189,78062,176846,0.03694,0.08355,0.13095,0.1986,0.54996,0.31148
Idaho,PAYETTE,16075,6144,0.409179281,9205,16520,24765,36000,59235,25141,5679,12836,20328,29766,57095,92058,0.04528,0.1021,0.1617,0.23677,0.45416,0.18307
Idaho,POWER,16077,2392,0.390933937,13000,19380,28595,42000,68800,29439,7550,16106,24253,34138,65147,106470,0.0513,0.10942,0.16477,0.23192,0.44259,0.18083
Idaho,SHOSHONE,16079,5749,0.402461826,9000,16505,25100,38000,60750,25035,5285,12729,20863,31052,55247,81288,0.04222,0.10169,0.16667,0.24807,0.44135,0.16235
Idaho,TETON,16081,1133,0.377065125,11285,18200,27600,39140,64000,26902,6839,14981,22718,32544,57427,85517,0.05088,0.11137,0.16889,0.24194,0.42692,0.15894
Idaho,TWIN FALLS,16083,19615,0.428439574,11150,18700,28310,41200,69540,29872,6426,14855,23432,34241,70407,127408,0.04331,0.09943,0.15683,0.22918,0.47125,0.21319
Idaho,VALLEY,16085,2433,0.431773931,11200,19540,29000,42000,73600,30990,6652,15521,24096,35294,73388,136485,0.04299,0.10016,0.1555,0.22776,0.47359,0.22019
Idaho,WASHINGTON,16087,3319,0.436326497,8290,14600,21990,34000,56800,23490,4909,11487,17991,26466,56596,98476,0.04179,0.0978,0.15318,0.22534,0.48188,0.20961
Illinois,ADAMS,17001,25557,0.431059888,10000,18600,28585,41875,70125,29393,5820,14233,23379,34695,68836,119711,0.03966,0.09684,0.15907,0.23607,0.46836,0.20363
Illinois,ALEXANDER,17003,4280,0.500309799,4970,10905,20000,33650,59050,21616,2787,7732,14878,26223,56461,94481,0.02578,0.07154,0.13766,0.24262,0.5224,0.21854
Illinois,BOND,17005,5642,0.386221244,9600,18300,29215,41600,59535,27042,5706,13921,23858,35000,56726,80414,0.04248,0.10293,0.1764,0.25878,0.41941,0.14864
Illinois,BOONE,17007,10941,0.377354013,17200,29500,40125,54000,88655,40200,9946,23545,34719,46732,86059,143394,0.04949,0.11714,0.17273,0.2325,0.42815,0.17835
Illinois,BROWN,17009,1949,0.423799462,8520,16240,24100,36000,56115,25153,5162,12261,20099,29969,58273,95615,0.04105,0.09749,0.15982,0.23829,0.46335,0.19007
Illinois,BUREAU,17011,13871,0.389876771,11800,21200,31140,44575,68860,30498,6722,16303,26123,37670,65670,100225,0.04439,0.10688,0.17126,0.24695,0.43052,0.16426
Illinois,CALHOUN,17013,2022,0.433735472,7035,16000,25870,37000,59770,25313,4228,11377,21052,31278,58628,91425,0.03393,0.08984,0.16625,0.247,0.46298,0.18049
Illinois,CARROLL,17015,6604,0.413065815,11900,20500,30635,42600,69200,31270,6942,16240,25472,36398,71301,126373,0.04474,0.10383,0.16285,0.23271,0.45587,0.20199
Illinois,CASS,17017,5211,0.406388556,10415,18150,28000,40515,64000,27832,5881,14246,23294,33795,61944,99038,0.04235,0.10236,0.16737,0.24283,0.44508,0.1779
Illinois,CHAMPAIGN,17019,63993,0.439417818,11155,21000,33020,48835,82165,33832,6200,15975,26654,40257,80075,138010,0.03668,0.09443,0.15756,0.23797,0.47335,0.20395
Illinois,CHRISTIAN,17021,13617,0.402582589,10280,19090,29725,44000,69490,29243,6262,14726,24430,36241,64553,95966,0.04283,0.10072,0.16709,0.24787,0.4415,0.16409
Illinois,CLARK,17023,6389,0.389342083,10140,19000,28285,40000,64500,27411,6021,14788,23384,33696,59166,88040,0.0445,0.10783,0.17052,0.24571,0.43143,0.16049
Illinois,CLAY,17025,5660,0.404427623,8770,15900,23845,35715,55400,23958,5217,12115,19818,29512,53130,83426,0.04357,0.10113,0.16543,0.24636,0.44351,0.1741
Illinois,CLINTON,17027,11586,0.362620351,13200,24400,35000,47495,73000,32542,7612,18754,29651,40620,66070,93032,0.04678,0.11526,0.18224,0.24965,0.40607,0.14294
Illinois,COLES,17029,18889,0.430698928,9905,19000,29680,44250,68890,30059,5651,14176,24105,36669,69692,115785,0.03805,0.09428,0.16031,0.24387,0.46349,0.19251
Illinois,COOK,17031,1874634,0.455885918,13430,26010,40000,59450,102700,42274,6751,19885,32827,48626,103283,188084,0.03198,0.09407,0.1553,0.23004,0.48861,0.22245
Illinois,CRAWFORD,17033,7807,0.398898484,11000,19425,29415,42700,65000,29141,6802,15187,24013,35299,64405,103121,0.04671,0.10423,0.1648,0.24225,0.44201,0.17693
Illinois,CUMBERLAND,17035,3993,0.398122596,10180,19605,28000,42545,64010,28098,5800,14760,23556,35101,61276,91506,0.04162,0.10502,0.16761,0.24975,0.436,0.16277
Illinois,DE KALB,17037,26513,0.391133932,13400,25000,36340,52440,81590,35463,7433,19009,30550,44220,76101,114849,0.04228,0.10716,0.17223,0.2493,0.42903,0.16187
Illinois,DE WITT,17039,6506,0.40621549,12000,21200,32875,46015,72390,32203,6792,16530,27051,39222,71419,117485,0.04225,0.10266,0.16799,0.24358,0.44353,0.1824
Illinois,DOUGLAS,17041,7224,0.367904106,12570,21715,32510,45260,67405,30674,7643,17160,26865,38618,63085,92863,0.04999,0.11187,0.17514,0.25176,0.41125,0.15135
Illinois,DU PAGE,17043,279718,0.379780035,27000,41510,56000,78000,129665,58874,16387,34475,48674,65744,129088,228734,0.05569,0.11711,0.16535,0.22333,0.43852,0.19425
Illinois,EDGAR,17045,7828,0.442934538,8665,17230,26140,40000,68935,27664,5195,12766,21619,32414,66325,112652,0.0379,0.09226,0.15624,0.23426,0.47934,0.20354
Illinois,EDWARDS,17047,3037,0.409418783,9670,16200,26880,39000,61000,26242,5660,12948,21260,32802,58540,92768,0.04408,0.09859,0.16187,0.24975,0.44572,0.17658
Illinois,EFFINGHAM,17049,11445,0.403225679,12500,22000,33415,46500,72710,32850,7354,17117,27453,39533,72792,123814,0.04481,0.10421,0.16714,0.24068,0.44316,0.18845
Illinois,FAYETTE,17051,7759,0.423846853,9325,17380,26920,38800,63280,27117,5406,13483,21966,32186,62542,106309,0.03987,0.09945,0.16201,0.23739,0.46128,0.19602
Illinois,FORD,17053,5576,0.377003546,12610,20715,31000,44600,69570,30060,7575,16470,25750,36903,63603,96607,0.0505,0.10957,0.17131,0.2455,0.42313,0.16067
Illinois,FRANKLIN,17055,16652,0.439619908,7905,14000,24000,40000,61665,24622,4534,11007,18638,30696,58233,86694,0.037,0.08939,0.15137,0.2493,0.47294,0.17602
Illinois,FULTON,17057,14970,0.406474593,9665,17125,26500,41000,61750,26513,5510,13379,21674,33158,58845,87441,0.04191,0.10089,0.16344,0.25003,0.44373,0.16484
Illinois,GALLATIN,17059,2803,0.459388449,7550,14530,23555,36485,60175,25291,4359,11274,19068,29473,62282,111717,0.03457,0.08915,0.15077,0.23304,0.49247,0.22084
Illinois,GREENE,17061,5889,0.402779784,8915,16320,26120,37900,62020,25286,5652,12480,20846,31420,56031,82039,0.0447,0.09871,0.16488,0.24852,0.44318,0.16222
Illinois,GRUNDY,17063,11964,0.360471345,16000,30000,42320,57100,81200,38933,8833,22768,35747,49342,77976,112317,0.04554,0.11694,0.1836,0.25343,0.40049,0.14422
Illinois,HAMILTON,17065,3450,0.463794279,6750,13630,23000,36000,62445,24312,4121,10023,18178,29401,59835,103182,0.03406,0.08244,0.14952,0.24183,0.49215,0.21217
Illinois,HANCOCK,17067,8372,0.408111822,10260,19250,28550,40785,63450,28636,5896,15020,23881,34435,63946,108157,0.04149,0.10487,0.16674,0.24043,0.44647,0.18879
Illinois,HARDIN,17069,2055,0.449807826,6215,11740,19610,33000,55220,21125,4108,8865,15662,25784,51204,79325,0.03899,0.08392,0.14827,0.24409,0.48474,0.18774
Illinois,HENDERSON,17071,3237,0.397354665,9330,17700,27000,41000,63170,26522,5575,13562,22155,33772,57548,81801,0.0423,0.10224,0.16702,0.2546,0.43384,0.15417
Illinois,HENRY,17073,19496,0.405953089,12260,21000,31615,46085,73210,31838,7010,16555,26100,38237,71291,116135,0.04442,0.10395,0.16388,0.2401,0.44765,0.18231
Illinois,IROQUOIS,17075,11780,0.383683245,12200,21000,30355,43600,68190,30158,7496,16524,25397,36309,65062,102047,0.04978,0.10958,0.16842,0.24078,0.43145,0.16918
Illinois,JACKSON,17077,23491,0.493476341,6000,13000,23000,39400,70500,24896,3171,9111,17615,30223,64360,103462,0.02558,0.07319,0.14149,0.24277,0.51698,0.20776
Illinois,JASPER,17079,4059,0.394605346,10125,18335,27440,39620,65670,26915,5817,14361,22649,32927,58822,87966,0.04343,0.10669,0.16826,0.24462,0.437,0.16338
Illinois,JEFFERSON,17081,14600,0.446142379,8670,17100,28775,42150,69800,28534,4920,12654,22441,34866,67790,113129,0.03452,0.08869,0.15728,0.24438,0.47513,0.19823
Illinois,JERSEY,17083,7310,0.381501561,12325,21000,32500,45000,67360,30758,7085,16411,26872,38677,64746,96845,0.04618,0.1067,0.17471,0.25146,0.42095,0.15741
Illinois,JO DAVIESS,17085,8399,0.397603713,12700,21950,31750,45375,72400,32100,7244,17486,26755,37811,71206,115561,0.04524,0.10893,0.16668,0.23556,0.4436,0.17998
Illinois,JOHNSON,17087,3674,0.411535841,8290,17000,26620,40545,65000,26090,5010,12445,21848,32849,58296,82336,0.03911,0.09533,0.16736,0.25163,0.44656,0.15768
Illinois,KANE,17089,106914,0.387762171,19600,33045,46910,65000,105165,46835,10937,26538,39851,54999,101849,168970,0.04672,0.11333,0.17017,0.23486,0.43492,0.18039
Illinois,KANKAKEE,17091,34588,0.408542406,11925,22000,33955,48440,74485,33022,6461,16768,28026,40705,73148,116268,0.03926,0.10154,0.16972,0.2465,0.44298,0.17603
Illinois,KENDALL,17093,13296,0.333538249,24000,37240,48400,64530,95800,47426,13992,31025,42809,55958,93348,145292,0.05903,0.13083,0.18052,0.23597,0.39364,0.15317
Illinois,KNOX,17095,21981,0.421968327,10375,20000,29680,42815,68800,29983,5896,15104,24466,35427,69024,117229,0.03957,0.10072,0.16316,0.23625,0.4603,0.19544
Illinois,LAKE,17097,173887,0.459642924,23100,38000,54755,81800,163900,63545,13028,30762,46060,66456,161416,318255,0.04104,0.09682,0.14496,0.20916,0.50802,0.25041
Illinois,LA SALLE,17099,40982,0.40560286,11230,21445,32970,47000,72000,31900,6305,16405,27101,39421,70265,110954,0.03967,0.10284,0.16989,0.24712,0.44047,0.17388
Illinois,LAWRENCE,17101,6362,0.428712783,8345,15800,24030,38200,63000,25174,5023,12026,19779,30351,58691,94290,0.04,0.09553,0.15712,0.24111,0.46624,0.18726
Illinois,LEE,17103,12478,0.374824492,13695,23660,32900,46500,68550,32345,7610,18663,28143,39255,68056,105294,0.04707,0.1154,0.17401,0.24272,0.4208,0.16276
Illinois,LIVINGSTON,17105,13738,0.367554368,13255,24000,35000,48000,72610,32959,7772,18644,29563,41061,67754,97741,0.04748,0.1131,0.17934,0.24908,0.411,0.14823
Illinois,LOGAN,17107,11093,0.369991226,12000,22940,33000,46200,67335,31072,7174,17515,27448,39428,63793,92218,0.04618,0.11274,0.17667,0.25379,0.41062,0.1484
Illinois,MC DONOUGH,17109,12180,0.445262145,8000,16710,26900,39815,65900,26935,4467,12049,21596,32820,63742,107455,0.03338,0.08945,0.16033,0.24365,0.4732,0.19943
Illinois,MC HENRY,17111,63047,0.360460081,22915,37190,50000,67700,107390,49833,13526,30415,43482,57893,103847,168797,0.05432,0.12206,0.17451,0.23234,0.41677,0.16936
Illinois,MC LEAN,17113,46896,0.411532772,14000,25000,37895,54700,87200,37955,7944,19521,31361,45270,85676,142408,0.042,0.10285,0.16523,0.23851,0.4514,0.18758
Illinois,MACON,17115,46068,0.424553645,11750,22375,35000,50220,78220,34655,6559,16938,28467,42031,79280,134541,0.03788,0.09775,0.16428,0.24256,0.45752,0.19411
Illinois,MACOUPIN,17117,18265,0.417025718,10480,18750,30000,42730,66000,29283,6010,14404,23970,35953,66077,109717,0.04122,0.09836,0.16369,0.24551,0.45122,0.18731
Illinois,MADISON,17119,94834,0.397604604,12600,23835,36000,50900,78480,34540,7106,18089,29604,42898,75003,115757,0.04125,0.10473,0.1714,0.24837,0.43425,0.16755
Illinois,MARION,17121,16188,0.447148769,9155,17665,28000,42000,67000,29163,5257,13348,22713,34647,69849,124910,0.03641,0.09151,0.15571,0.23752,0.47885,0.21408
Illinois,MARSHALL,17123,4910,0.387384313,12220,21100,32315,47460,68555,31311,7093,16778,26466,39120,67095,99812,0.04574,0.10713,0.16898,0.24977,0.42838,0.15932
Illinois,MASON,17125,6332,0.408554595,10490,18100,28500,42000,64535,28299,6281,14376,22800,34454,63582,101948,0.04452,0.10159,0.16112,0.24347,0.4493,0.1801
Illinois,MASSAC,17127,5952,0.429623412,7715,15000,26000,40600,63000,25111,4565,11188,19927,32223,57654,82042,0.0365,0.08909,0.15869,0.2566,0.45912,0.16333
Illinois,MENARD,17129,4219,0.386590073,12750,24000,35200,50050,78305,33968,7477,18331,29331,42306,72395,108515,0.04403,0.10793,0.1727,0.2491,0.42625,0.15973
Illinois,MERCER,17131,6519,0.399348049,12000,21705,31550,45915,75000,31600,6564,16857,26478,38402,69700,106748,0.04192,0.10665,0.16752,0.24296,0.44097,0.16884
Illinois,MONROE,17133,8088,0.350683987,16800,29000,40100,53800,80000,37925,10136,22764,34474,46247,76004,115265,0.05363,0.12003,0.18177,0.24384,0.40074,0.15194
Illinois,MONTGOMERY,17135,11465,0.405478688,9600,18880,29000,41400,64000,27811,5459,14041,23764,34704,61087,94414,0.03929,0.10097,0.17089,0.24957,0.43929,0.16974
Illinois,MORGAN,17137,13683,0.40997823,12000,21260,32000,44800,74000,31912,6790,16623,26405,37535,72205,120984,0.04258,0.10418,0.16548,0.23524,0.45252,0.18956
Illinois,MOULTRIE,17139,5132,0.387981797,12000,22400,32000,46675,73400,31443,7040,16758,27101,38603,67710,99068,0.04515,0.10655,0.17232,0.24545,0.43053,0.15748
Illinois,OGLE,17141,17123,0.35415902,15000,25970,36305,49730,74215,34452,8701,20871,30841,42324,69526,100457,0.05052,0.12116,0.17903,0.24569,0.4036,0.14579
Illinois,PEORIA,17143,70826,0.443697749,11000,22000,34950,52100,85000,35513,5858,16570,28206,42816,84116,142908,0.03302,0.09331,0.15884,0.24112,0.47371,0.2012
Illinois,PERRY,17145,8292,0.40639442,9700,18585,28600,42000,62180,27538,5324,13779,23278,35055,60254,91231,0.03882,0.10006,0.16903,0.25455,0.43754,0.16562
Illinois,PIATT,17147,5952,0.363522096,15675,25500,36405,49850,78060,35400,9298,20756,31044,42437,73466,114759,0.05291,0.11722,0.17532,0.23966,0.41489,0.16202
Illinois,PIKE,17149,7036,0.425290565,8565,16200,25000,36610,60000,25192,4980,12132,20463,30199,58186,96441,0.03979,0.09629,0.16242,0.23969,0.46182,0.19136
Illinois,POPE,17151,1639,0.420207734,6790,13820,24470,38620,55000,23203,4309,10416,18705,30950,51634,71718,0.03714,0.08979,0.16123,0.26678,0.44507,0.15455
Illinois,PULASKI,17153,2958,0.477121358,5290,11015,21100,34000,57000,21528,3278,7994,15651,27439,53277,89350,0.03046,0.07427,0.1454,0.25491,0.49496,0.20752
Illinois,PUTNAM,17155,2219,0.398177166,14000,24060,34500,48570,78665,35248,8344,19090,29525,40741,78538,138251,0.04759,0.10829,0.16749,0.23111,0.44552,0.19606
Illinois,RANDOLPH,17157,11975,0.404985767,11000,20500,31045,45300,67250,30740,6560,15727,25721,37689,68002,109992,0.04279,0.10231,0.16733,0.24518,0.44239,0.17889
Illinois,RICHLAND,17159,6469,0.448884898,10000,18855,27000,40935,67005,29726,5807,14106,22948,33564,72203,140779,0.03907,0.09491,0.1544,0.22582,0.4858,0.2368
Illinois,ROCK ISLAND,17161,59137,0.421257622,11325,21235,32815,48800,77000,32941,6309,16296,26850,40106,75145,121833,0.03831,0.09894,0.16302,0.2435,0.45623,0.18492
Illinois,ST CLAIR,17163,95112,0.425155004,10580,21000,33000,48500,77160,32615,5721,15798,26837,40311,74406,118104,0.03511,0.09688,0.16457,0.24719,0.45626,0.18105
Illinois,SALINE,17165,10806,0.449602062,7115,14000,24000,39085,62200,24492,4018,10513,18577,30899,58454,89422,0.03311,0.08582,0.15165,0.25224,0.47718,0.1825
Illinois,SANGAMON,17167,71944,0.411663397,13775,24250,36370,52300,83005,36699,7686,19023,30177,43724,82883,138917,0.04192,0.10367,0.16445,0.23828,0.45168,0.18926
